epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0967,1.0268,3.8815,1.06492,0.02616,0.54793,0.09024,0.07694,0.73763,3.59456,0.90822,0.00012006,0.00012006,0.00012006
2,22.7483,0.91262,2.06962,1.00094,1,0.06913,0.27688,0.21683,0.74948,2.83124,0.92057,0.000241904,0.000241904,0.000241904
3,29.3663,0.80327,1.41287,0.94559,0.93698,0.18664,0.55604,0.42677,0.75208,2.2875,0.93677,0.000358729,0.000358729,0.000358729
4,35.3872,0.78143,1.12966,0.9457,0.87037,0.32996,0.70942,0.51286,0.76841,1.79372,0.9469,0.000470535,0.000470535,0.000470535
5,41.2428,0.79851,1.02812,0.95168,0.76679,0.55871,0.803,0.53675,0.73457,1.31468,0.93616,0.000577323,0.000577323,0.000577323
6,47.7138,0.77388,0.94139,0.93759,0.82964,0.7597,0.81627,0.5631,0.7185,1.04605,0.93076,0.000600967,0.000600967,0.000600967
7,53.5555,0.7659,0.89809,0.94108,0.83983,0.8409,0.91375,0.64036,0.74253,0.77515,0.95627,0.00058776,0.00058776,0.00058776
8,59.3795,0.73123,0.86902,0.92578,0.87684,0.90018,0.95765,0.68058,0.72141,0.78548,0.91234,0.000574554,0.000574554,0.000574554
9,65.1878,0.74307,0.84727,0.91462,0.87321,0.85856,0.94862,0.67994,0.73111,0.68151,0.91336,0.000561347,0.000561347,0.000561347
10,71.1946,0.7221,0.7853,0.93266,0.75851,0.91294,0.9184,0.66384,0.7041,0.66055,0.90791,0.000548141,0.000548141,0.000548141
11,77.2673,0.73075,0.76132,0.91442,0.91021,0.87083,0.94053,0.69987,0.6819,0.60527,0.89601,0.000534934,0.000534934,0.000534934
12,83.5338,0.69618,0.77966,0.91185,0.88937,0.91534,0.95252,0.68943,0.69422,0.60738,0.90749,0.000521727,0.000521727,0.000521727
13,89.5239,0.68436,0.71866,0.91221,0.84508,0.90957,0.95901,0.67466,0.69289,0.56527,0.9077,0.000508521,0.000508521,0.000508521
14,95.8464,0.67687,0.6954,0.90618,0.87156,0.90621,0.94876,0.6933,0.69087,0.54895,0.90675,0.000495314,0.000495314,0.000495314
15,102.101,0.68184,0.70146,0.90956,0.86884,0.95277,0.9514,0.68656,0.67829,0.54779,0.9052,0.000482108,0.000482108,0.000482108
16,108.097,0.6604,0.68067,0.90406,0.90203,0.90812,0.94784,0.71264,0.67663,0.53662,0.89832,0.000468901,0.000468901,0.000468901
17,114.135,0.70631,0.6935,0.90833,0.86799,0.91015,0.9321,0.70103,0.68469,0.5579,0.906,0.000455694,0.000455694,0.000455694
18,120.131,0.68226,0.65925,0.90449,0.84373,0.96358,0.94252,0.71804,0.65912,0.50319,0.89857,0.000442488,0.000442488,0.000442488
19,126.875,0.67128,0.66523,0.91061,0.86011,0.95613,0.96213,0.74386,0.64429,0.49427,0.88252,0.000429281,0.000429281,0.000429281
20,132.973,0.66909,0.62744,0.90006,0.90227,0.96535,0.96559,0.75282,0.62856,0.47356,0.87525,0.000416075,0.000416075,0.000416075
21,138.903,0.67466,0.64935,0.89839,0.93621,0.93714,0.96103,0.75151,0.64711,0.47651,0.88364,0.000402868,0.000402868,0.000402868
22,144.907,0.65162,0.61315,0.89273,0.90947,0.95697,0.96816,0.74805,0.62354,0.45597,0.88307,0.000389661,0.000389661,0.000389661
23,150.92,0.65008,0.6131,0.89832,0.9087,0.95551,0.95515,0.74205,0.6422,0.49112,0.88647,0.000376455,0.000376455,0.000376455
24,156.924,0.66693,0.62744,0.9008,0.87651,0.96824,0.95973,0.741,0.61952,0.46635,0.87792,0.000363248,0.000363248,0.000363248
25,163.012,0.61834,0.60356,0.8964,0.89697,0.97345,0.96021,0.74069,0.6092,0.45902,0.8715,0.000350042,0.000350042,0.000350042
26,168.997,0.63416,0.58389,0.8902,0.90521,0.944,0.96648,0.74285,0.61702,0.45258,0.87706,0.000336835,0.000336835,0.000336835
27,174.993,0.62779,0.56486,0.88776,0.89457,0.97213,0.96886,0.74472,0.61363,0.43947,0.87368,0.000323628,0.000323628,0.000323628
28,181.035,0.63973,0.58161,0.88707,0.91949,0.9588,0.96907,0.74115,0.61456,0.43715,0.87945,0.000310422,0.000310422,0.000310422
29,187.084,0.61809,0.57113,0.88641,0.92204,0.94031,0.9688,0.74649,0.6214,0.44445,0.88359,0.000297215,0.000297215,0.000297215
30,193.178,0.60961,0.54638,0.88849,0.88971,0.9646,0.96704,0.75413,0.61684,0.43002,0.88018,0.000284009,0.000284009,0.000284009
31,199.208,0.62589,0.54913,0.8944,0.92957,0.94971,0.96401,0.73917,0.61503,0.43065,0.8737,0.000270802,0.000270802,0.000270802
32,205.251,0.61568,0.55441,0.88267,0.91455,0.96022,0.96495,0.74918,0.61571,0.42385,0.87196,0.000257595,0.000257595,0.000257595
33,211.342,0.61405,0.52906,0.88329,0.9271,0.94735,0.96635,0.74708,0.62058,0.43049,0.87444,0.000244389,0.000244389,0.000244389
34,217.416,0.60567,0.55694,0.88387,0.92329,0.95109,0.97112,0.75331,0.59727,0.40753,0.86958,0.000231182,0.000231182,0.000231182
35,223.539,0.59895,0.53449,0.88339,0.9115,0.95564,0.96907,0.75716,0.60392,0.40593,0.86582,0.000217976,0.000217976,0.000217976
36,229.656,0.60021,0.52626,0.88401,0.91181,0.96757,0.96492,0.74447,0.60907,0.4087,0.86575,0.000204769,0.000204769,0.000204769
37,235.608,0.59259,0.51043,0.87412,0.91069,0.97369,0.96808,0.75135,0.60301,0.40158,0.86249,0.000191562,0.000191562,0.000191562
38,241.634,0.58383,0.49195,0.87864,0.91556,0.97593,0.96861,0.75557,0.59211,0.39209,0.86049,0.000178356,0.000178356,0.000178356
39,248.281,0.58187,0.50772,0.87073,0.92202,0.9788,0.97101,0.76471,0.59384,0.39401,0.85938,0.000165149,0.000165149,0.000165149
40,254.439,0.5634,0.48823,0.86549,0.9173,0.97,0.97026,0.76036,0.60875,0.39672,0.85963,0.000151943,0.000151943,0.000151943
41,312.204,0.57125,0.52565,0.85431,0.90475,0.97093,0.9655,0.76779,0.5983,0.42283,0.85817,0.000138736,0.000138736,0.000138736
42,318.405,0.54798,0.52069,0.84642,0.90125,0.97754,0.96948,0.77172,0.58663,0.39987,0.85393,0.000125529,0.000125529,0.000125529
43,324.399,0.55983,0.50769,0.8614,0.89921,0.97253,0.97321,0.76939,0.57908,0.39497,0.85276,0.000112323,0.000112323,0.000112323
44,330.45,0.54715,0.50591,0.85931,0.91821,0.9786,0.97129,0.77651,0.59083,0.39326,0.85755,9.91162e-05,9.91162e-05,9.91162e-05
45,336.335,0.5467,0.49914,0.83554,0.92457,0.96542,0.96785,0.77148,0.59419,0.39518,0.85906,8.59096e-05,8.59096e-05,8.59096e-05
46,342.254,0.53682,0.49629,0.84399,0.91018,0.97622,0.96657,0.77199,0.58585,0.38698,0.85723,7.2703e-05,7.2703e-05,7.2703e-05
47,348.093,0.54695,0.49116,0.84462,0.89803,0.97514,0.96914,0.77595,0.58689,0.38216,0.85772,5.94964e-05,5.94964e-05,5.94964e-05
48,354.012,0.53689,0.49518,0.85324,0.91228,0.96164,0.97056,0.77536,0.59267,0.3783,0.85918,4.62898e-05,4.62898e-05,4.62898e-05
49,359.84,0.53394,0.48827,0.84065,0.9272,0.96131,0.97139,0.77096,0.58797,0.37859,0.85736,3.30832e-05,3.30832e-05,3.30832e-05
50,365.755,0.53425,0.48452,0.85155,0.92299,0.96551,0.97076,0.76674,0.58685,0.37569,0.85674,1.98766e-05,1.98766e-05,1.98766e-05
